input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172433_covariance_mst.mat,0.935725,-0.000000,0.090899
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172029_covariance_mst.mat,0.958323,-0.000000,0.058940
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172534_covariance_mst.mat,0.937738,-0.000000,0.088052
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172938_covariance_mst.mat,0.960155,-0.000000,0.056349
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173536_covariance_mst.mat,0.933692,-0.000000,0.093774
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173435_covariance_mst.mat,0.931868,-0.000000,0.096354
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180735_covariance_mst.mat,0.934309,-0.000000,0.092901
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180533_covariance_mst.mat,0.929345,-0.000000,0.099921
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/179245_covariance_mst.mat,0.928619,-0.000000,0.100947
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180432_covariance_mst.mat,0.939939,-0.000000,0.084939
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/178849_covariance_mst.mat,0.953445,-0.000000,0.065839
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180129_covariance_mst.mat,NaN,NaN,0.066528
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180230_covariance_mst.mat,0.907617,-0.000000,0.130650
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/178950_covariance_mst.mat,NaN,NaN,0.070153
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/286347_covariance_mst.mat,0.935078,-0.000000,0.091814
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/178142_covariance_mst.mat,NaN,NaN,0.089480
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/174841_covariance_mst.mat,NaN,NaN,0.073030
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173738_covariance_mst.mat,0.916149,-0.000000,0.118583
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173637_covariance_mst.mat,NaN,NaN,0.088185
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/176037_covariance_mst.mat,0.962660,-0.000000,0.052807
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/177241_covariance_mst.mat,NaN,NaN,0.103256
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/177645_covariance_mst.mat,0.940453,-0.000000,0.084212
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/175338_covariance_mst.mat,0.941998,-0.000000,0.082027
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/280941_covariance_mst.mat,0.918974,-0.000000,0.114588
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/274542_covariance_mst.mat,0.925940,-0.000000,0.104736
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/268749_covariance_mst.mat,0.908724,-0.000000,0.129083
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/281135_covariance_mst.mat,NaN,NaN,0.077303
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/257946_covariance_mst.mat,0.931530,-0.000000,0.096832
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/220721_covariance_mst.mat,0.950210,-0.000000,0.070414
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/275645_covariance_mst.mat,0.920042,-0.000000,0.113078
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/285446_covariance_mst.mat,0.934411,-0.000000,0.092757
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/227432_covariance_mst.mat,0.920565,-0.000000,0.112338
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/175742_covariance_mst.mat,0.938833,-0.000000,0.086503
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173940_covariance_mst.mat,0.946877,-0.000000,0.075127
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/286650_covariance_mst.mat,0.944882,-0.000000,0.077949
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/289555_covariance_mst.mat,0.963796,-0.000000,0.051201
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/303119_covariance_mst.mat,0.947487,-0.000000,0.074264
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/295146_covariance_mst.mat,NaN,NaN,0.075068
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/287248_covariance_mst.mat,0.950569,-0.000000,0.069906
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/299760_covariance_mst.mat,0.944864,-0.000000,0.077974
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128127_covariance_mst.mat,0.925476,-0.000000,0.105393
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128935_covariance_mst.mat,NaN,NaN,0.093014
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/129634_covariance_mst.mat,0.951769,-0.000000,0.068208
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/129331_covariance_mst.mat,0.939366,-0.000000,0.085750
