input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173637_covariance.mat,0.644429,0.502854,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173536_covariance.mat,0.137111,0.718572,0.986324
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/387959_covariance.mat,0.768221,0.327785,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/391748_covariance.mat,0.105067,0.808291,0.974064
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/395756_covariance.mat,0.657891,0.483815,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/376247_covariance.mat,0.760292,0.338998,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/378756_covariance.mat,0.164049,0.631241,0.999917
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/381543_covariance.mat,0.346133,0.627945,0.681232
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/368753_covariance.mat,0.619595,0.537974,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/361941_covariance.mat,0.265880,0.386469,0.981397
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/361234_covariance.mat,0.309827,0.436147,0.886250
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/152427_covariance.mat,0.182382,0.589437,0.998884
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/295146_covariance.mat,0.455146,0.770540,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/143224_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/287248_covariance.mat,0.276782,0.291744,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/299760_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/289555_covariance.mat,0.714125,0.404288,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/286650_covariance.mat,0.201270,0.547135,0.996947
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/281135_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/285446_covariance.mat,0.352401,0.299067,0.906379
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/286347_covariance.mat,0.236738,0.611520,0.890799
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/280941_covariance.mat,0.517375,0.682535,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180735_covariance.mat,0.317266,-0.000000,0.965532
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/181232_covariance.mat,0.060581,0.921357,0.958599
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180129_covariance.mat,0.162268,0.657809,0.986987
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/178950_covariance.mat,0.584147,0.588105,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/180230_covariance.mat,0.158719,0.647631,0.999739
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/179245_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/336841_covariance.mat,0.230292,0.447113,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/349244_covariance.mat,0.408196,0.297645,0.829471
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/348545_covariance.mat,0.286831,0.264136,0.999981
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/397154_covariance.mat,0.554658,0.629809,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/275645_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/257946_covariance.mat,0.698601,0.426243,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/268749_covariance.mat,0.347151,0.868267,0.314407
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/274542_covariance.mat,0.280016,0.558660,0.859568
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/459453_covariance.mat,0.241034,0.906468,0.575853
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/465852_covariance.mat,0.722733,0.392115,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/198855_covariance.mat,0.364782,0.429064,0.801289
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/199352_covariance.mat,0.182887,0.630828,0.968213
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/200513_covariance.mat,0.282961,0.275435,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/199958_covariance.mat,0.253119,0.378120,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/213522_covariance.mat,0.252933,0.617852,0.858364
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/220721_covariance.mat,0.294299,0.000000,0.998011
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/227432_covariance.mat,0.395585,0.314261,0.822978
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/219231_covariance.mat,0.122934,0.765147,0.976267
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/213421_covariance.mat,0.515852,0.684689,0.000000
